Epoch,avg_psnr_predicted_save
10,39.1044413331
20,39.1398136649
30,39.1788581373
40,39.3044288687
50,39.5167065309
60,39.6299122515
70,39.6776143608
80,39.7474505648
90,40.1516557728
100,40.4188127862
110,40.7133628164
120,40.9702381713
130,41.0708904906
140,41.1157006223
150,41.1248488145
160,41.1364509093
170,41.1419076672
180,41.1524592564
190,41.1532587369
200,41.1555538404
210,41.1567333255
220,41.1590721689
230,41.1624859226
240,41.1653282233
250,41.1732904438
260,41.1674574502
270,41.1716035246
280,41.1705568209
290,41.1750939761
300,41.1711057852
310,41.182949669
320,41.1799756993
330,41.1815057259
340,41.187381732
350,41.1879154695
360,41.1924465897
370,41.2020442269
380,41.2055268082
390,41.2119734145
400,41.2172989113
